ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
1830,16.71,44.44,21.43,48.84,46.2,23.51,51.16
12731,13.09,45.1,22.64,46.3,43.69,22.82,58.49
14022,18.04,42.62,22.54,38.36,36.36,21.28,63.89
17641,21.17,52.05,27.96,53.19,50.25,21.71,47.87
12330,24.76,50.67,29.79,54.17,49.94,22.94,45.83
25642,18.87,54.17,23.39,50.87,46.42,25.37,51.16
7875,3.9,37.33,10.26,35.0,28.06,37.04,65.85
18083,3.99,40.0,13.19,36.56,29.35,43.04,72.34
16443,20.14,51.22,27.45,50.0,50.78,18.58,65.96
1739,1.88,26.87,5.41,28.95,21.02,33.8,76.32
11409,6.33,40.29,12.5,36.19,29.47,22.08,66.07
5344,20.03,50.0,28.07,55.17,51.72,19.35,46.55
14188,15.15,41.76,18.75,38.78,37.8,27.34,71.74
13995,1.53,26.47,4.76,25.58,17.59,34.09,76.09
17047,17.91,48.28,23.76,50.49,44.24,21.05,53.57
7588,41.37,66.67,46.15,67.92,67.34,10.62,34.62
12934,4.4,44.44,12.96,38.18,33.66,31.96,65.45
6610,11.46,51.49,15.25,50.0,41.98,20.53,52.54
20376,25.88,48.48,29.91,51.38,49.46,21.02,49.09
18708,16.12,46.75,25.88,45.98,43.5,28.97,58.14
4829,17.12,51.97,27.27,50.0,49.58,27.03,58.11
19347,1.5,25.0,4.6,24.72,17.18,43.42,80.85
17567,15.76,46.88,21.47,39.11,38.32,27.91,75.29
8290,15.84,51.13,24.46,51.06,47.58,21.85,50.0
14742,9.2,37.21,13.19,36.56,31.34,26.54,65.96
19835,3.87,25.0,9.2,22.47,20.23,35.06,81.82
20973,21.11,55.42,31.91,58.33,53.79,21.13,42.86
23508,10.11,39.62,13.68,36.97,31.16,28.53,66.13
22995,11.56,47.71,15.75,43.41,38.4,20.0,56.92
2718,3.81,32.08,13.01,32.0,29.1,23.59,73.77
7482,29.95,60.67,37.5,56.14,58.27,16.48,54.72
11923,8.5,33.77,12.5,32.65,28.21,30.64,70.0
