Index,CER,WER,BLEU,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,TER,chrF,Jaccard,Cosine_Sim,Levenshtein_Sim,Precision,Recall,F1-Score,Length_Ratio
408,5.314009661835748,12.222222222222221,75.64584347137365,89.99436127542255,83.53163884909763,79.52498334901613,75.64584347137365,89.75289484039489,0.0,0.0,0.0,12.222222222222221,90.02725756239293,85.13513513513513,89.09099999086362,69.57383548067394,91.30434782608695,92.64705882352942,91.97080291970802,98.88888888888889
409,4.910714285714286,6.976744186046512,81.95721998506681,93.02325581395348,89.29401954728155,85.51131524519204,81.95721998506681,92.97674418604652,0.0,0.0,0.0,6.976744186046512,92.05800040565985,86.36363636363636,93.61702127659575,96.82242990654206,92.6829268292683,92.6829268292683,92.68292682926828,100.0
410,2.7131782945736433,3.571428571428571,90.63570877245087,96.42857142857143,94.55981409435216,92.70134385805775,90.63570877245087,96.42030423280423,0.0,0.0,0.0,3.571428571428571,95.70894008386297,92.0,97.22222222222224,98.25119236883943,95.83333333333334,95.83333333333334,95.83333333333334,100.0
411,11.538461538461538,20.0,67.33875638869624,82.22222222222221,77.32915349205615,72.37890372159237,67.33875638869624,82.12076941806671,0.0,0.0,0.0,20.0,83.8546464549258,66.66666666666666,85.45454545454545,88.71287128712872,80.0,80.0,80.0,100.0
412,14.358974358974358,24.390243902439025,44.11705592671864,75.60975609756098,64.486716348143,54.61465177870206,44.11705592671864,73.92071267226721,0.0,0.0,0.0,24.390243902439025,78.23926658158886,59.57446808510638,80.01600480160056,59.538784067085956,75.67567567567568,73.68421052631578,74.66666666666666,100.0
413,23.502304147465438,38.0,40.91115031608871,66.0,55.65931353936616,48.22736276980344,40.91115031608871,65.08172635445362,0.0,0.0,0.0,38.0,68.09138249485963,52.63157894736842,60.007101852424704,74.76979742173113,68.18181818181817,69.76744186046511,68.96551724137929,100.0
414,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99901289163525,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
415,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99971528790087,0.0,0.0,0.0,0.0,100.0,100.0,100.00000000000003,100.0,100.0,100.0,100.0,100.0
416,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99973001139352,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
417,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99951841114203,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
418,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99957500701238,0.0,0.0,0.0,0.0,100.0,100.0,100.00000000000003,100.0,100.0,100.0,100.0,100.0
419,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99932512687614,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
420,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99976851851852,0.0,0.0,0.0,0.0,100.0,100.0,99.99999999999997,100.0,100.0,100.0,100.0,100.0
421,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.99951841114203,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
